name,confidence,xmin,ymin,xmax,ymax
person,0.8640047907829285,4.026068687438965,261.767578125,248.8611602783203,807.2347412109375
person,0.8478214740753174,197.08819580078125,283.1958312988281,363.010498046875,808.9708251953125
person,0.721319854259491,754.2944946289062,301.01702880859375,871.9636840820312,768.4491577148438
person,0.7207592725753784,433.37298583984375,288.26812744140625,551.1254272460938,780.5331420898438
person,0.7094199657440186,526.4135131835938,270.84161376953125,685.8258666992188,799.4022216796875
person,0.6949554085731506,659.9590454101562,288.36785888671875,781.6188354492188,775.2994384765625
person,0.6704878211021423,335.5458984375,296.07122802734375,462.471923828125,795.6200561523438
person,0.619871973991394,851.0350341796875,291.6826171875,1005.8646240234375,804.745361328125
person,0.5910962820053101,729.2240600585938,263.6114501953125,789.424072265625,365.6516418457031
person,0.41603031754493713,930.8992309570312,292.2427673339844,1078.6114501953125,805.6393432617188
person,0.3806139826774597,850.3237915039062,261.7967529296875,930.0812377929688,457.39459228515625
person,0.36732223629951477,495.27069091796875,265.2284851074219,556.0086669921875,376.3744812011719
person,0.3446631133556366,394.2110290527344,251.0684814453125,451.8761291503906,376.0016784667969
handbag,0.31971827149391174,644.125244140625,457.20574951171875,712.3690185546875,544.6615600585938
person,0.2643432319164276,312.0276184082031,267.7994079589844,377.0469055175781,400.5506896972656
