name,confidence,xmin,ymin,xmax,ymax
person,0.8674930334091187,1173.53076171875,47.253265380859375,1250.87060546875,189.77151489257812
person,0.8532804250717163,240.60092163085938,54.077911376953125,318.4281311035156,202.27780151367188
person,0.7565167546272278,532.6731567382812,68.1622314453125,569.1408081054688,199.71859741210938
person,0.7435043454170227,958.0444946289062,557.2705078125,1001.1648559570312,705.59765625
person,0.7314194440841675,905.6884765625,546.9000854492188,956.0286865234375,702.0109252929688
person,0.7243545055389404,1083.7115478515625,543.1937255859375,1133.0601806640625,706.121337890625
person,0.7221646904945374,1152.9197998046875,540.9282836914062,1205.7645263671875,703.8287963867188
person,0.709407389163971,805.9109497070312,78.26617431640625,835.3235473632812,182.9576416015625
person,0.6887050867080688,584.2080078125,64.05345916748047,624.0706787109375,200.93133544921875
person,0.6665639281272888,852.4971313476562,78.43893432617188,884.8919067382812,185.01754760742188
person,0.6642147302627563,428.7596435546875,80.84175109863281,467.75079345703125,198.56724548339844
person,0.6625319719314575,92.44744873046875,46.32341003417969,170.252685546875,202.0585174560547
person,0.6621463894844055,691.7946166992188,87.17317962646484,725.5936889648438,184.15969848632812
car,0.6419714689254761,383.5157775878906,523.6881713867188,743.1895751953125,718.2135620117188
person,0.6333447098731995,395.4239807128906,73.82937622070312,432.4997253417969,196.3187255859375
truck,0.594255805015564,1.73272705078125,418.03778076171875,409.62237548828125,715.2561645507812
person,0.549527645111084,727.1658325195312,90.39823913574219,757.5117797851562,185.04750061035156
person,0.5342352986335754,1024.0850830078125,33.30989074707031,1107.0401611328125,193.33436584472656
person,0.29869377613067627,819.7257080078125,72.97782897949219,882.8861083984375,185.5365447998047
person,0.2679729759693146,1085.5152587890625,540.4072265625,1189.3194580078125,702.7830810546875
person,0.25062400102615356,740.1416015625,89.05989074707031,773.3587646484375,183.05079650878906
