name,confidence,xmin,ymin,xmax,ymax
person,0.841425359249115,54.21272277832031,128.11019897460938,517.3370361328125,717.0673828125
person,0.8215497732162476,675.213623046875,106.80599975585938,1076.7845458984375,688.8822021484375
cup,0.7595256567001343,894.6572265625,651.5776977539062,946.3746337890625,718.7907104492188
cup,0.7547503709793091,961.0195922851562,624.9766845703125,1018.1328735351562,691.7464599609375
bottle,0.7459055781364441,557.9603881835938,454.42547607421875,616.0989379882812,621.0363159179688
cup,0.6741721034049988,636.392578125,503.68463134765625,699.5718994140625,619.1442260742188
cup,0.6473677754402161,453.6881408691406,505.19915771484375,508.3440856933594,625.5399780273438
chair,0.6219574809074402,817.1189575195312,304.042236328125,1136.06201171875,708.25390625
laptop,0.42008456587791443,808.3373413085938,303.3466491699219,1135.759521484375,710.9677734375
cup,0.3870742619037628,495.5074157714844,569.8156127929688,557.057373046875,640.0614624023438
chair,0.3609471023082733,317.4910583496094,283.9345397949219,468.0508117675781,466.3761901855469
dining table,0.344614177942276,458.14581298828125,608.4129638671875,805.5591430664062,714.54345703125
laptop,0.34120774269104004,818.1943969726562,454.640625,1013.8533325195312,718.8480224609375
cup,0.3228919804096222,642.558349609375,557.4074096679688,694.0538330078125,621.3054809570312
